query_id,answer
70DfDUpwjxB4lzFd,355392014208b7bf 9515d1e1ecdac72c 2d73dacac243ce62 deb58d7ad8c27d06 fa01652ca5f57d0f e5a240b2eaca4e11 14d535285758af89 6042fecdd7753112 bbfd9a8c71d3bd2b b92ee8f432cec2d1 255fbeaf526a1cc1 d722bcda1a555091 a1df0525799ab4b5 d7ad9f91504e4d02 82ddaf2c54ef884a 6fc4db453f873556 4332513c8fe7e1c9 603623b4bd9e8f6c f4e8903d7689e222 fa4ba2c2cf71b0b1 94c5ec723ea5418f cf0b70d14b674f8b d4ebb123b83921c3 6047e1566a959d3a 4494aa11cbdc2d65 33f8d361a92bdcde 73ba3172bc67d2dd acc6e16fea8628b0 56157887d3ddab2a bee602308dd4d4b3 c04be97528001251 347f89be8087d8c7 d01e14d2ffd4ddba 4f96718256e225e4 198c47117b3869da 6dfa83ed47d5bd10 1308d41ffd1cc3a6 500f27848ff77d33 7381aa4b4050d789 3b5ada3ffcacbbf3 638349a35daca252 95571e85156ba0fe 585d85c2bbec8c0a 0a32e88bbfb35c29 f077edb575e5d7a5 4c5de54dcb9ddd51 fe18d6ee0f9c019c f78d7058e1d906eb 5d04c825c8deb923 7ff50cd6937d2fb2
JTrdTaZJvSiLPkXj,367af128a9ea2a48 cbeccbecb1fb8d86 422d3ffdd5bbf626 19165fefac3dce47 1c6d2079e07f4497 efde386fb8c4f385 dfa239d031b11832 1344796085e92421 f46f68aaa4d7de38 01fbbfc288257fca 47b2ed1012de011a 35a0a88ef8547de9 75be1179c1cf9418 14fbc6d1a2f9f588 396da9dc8f95a5b4 427a0a8bda5b9679 c5110c8ce7bc03db 431efbc80d59155f cacca72b31f50e71 4930cb9da35e19af 73ab3b0d708ea15e 065a2794d829d4c5 1a1f3efb845a2473 f005926afbd52799 9227619964c97cd4 8e1b4cc39668f625 6d1e34faf020045c b2ce7db1e7b1be39 52eb8ff3516475db 556c97cc5c7ec705 a1d20685ee4a2b4c bc442a2d3b6e180f defd1a28001bc67d e7a1a49f5d6590f2 81d690fb770a5300 d801e3070fd322ff f9c79eeca4d21fe2 5d9d0ce6fd2b0e4b 9ab815857a7635e8 cd5182fb1bb20933 fb3d9c5c65bf762a fad16b03da7db6e9 2cbd2c47b27e0466 7460f8eacd14508e 144f9e95ab13c52c 0f348c93cf0a80ac ccb41dd11b4a4414 93b751f971e00d88 5688f38dd37bdc6b 83e2cd63f5f2309b
LZCZNoVG4AFUkVRJ,168a9207e80b0be4 dab52187b4500d9b 3f89b8062dc85f1c d8fce513e4f000a7 3b370cc603f67947 edecb3695ab88901 d62074dd39caefee 10eb6d6da3230bbb 5c3ee000a94c97a4 c1abf382ab9a79dd d8b9d06b50158c04 c5d21c0e8c1cdb2d 005a523a0efbc62b 35a357d7a0777087 0b1c884e6c242ea7 ffa57569baf9bf6e 965d4e5fe7062419 a9840be7d8930cd1 6c311e61cde9bac2 0a2a312988225650 e2f740399e45a7ae f687490eb8b38367 a461751752fcbf14 be827d807fb7e17c ea5ae87445c6055a 53fc0e81b65d6289 974b459d83fc73c2 3a33c8df4eb86a0f ab1a2e6b18e6d75a d8e11672a3a3b1db 2bdc0973aa9e6ab6 33757d777da644a0 65f998d38467560a 597e24ccf265b201 f03a082e6a709bf3 9ee7038f8274d1a7 504d4dfa810af44c e59f50c4c70d9a74 c280a32552fcb41c 3f155e092f6b52f3 d3add3e3188e1cb1 d69aa82a671914c3 4bd538bf77bc4e08 f15206e5d1387bcc 73ba144ca45e37da c859f2d4add353a3 3d5b978d09e51b00 08a5a810e06168af b1ac746a3a1866cd c95e1f08a7de9f5e
660ac9QVtXkRxZC3,af91ec4a29b66636 bd2cb4500fad728e 1e5924dc546b82c1 4c15e7abba063ac5 a846a2a5241e1180 4816fc8b40866f56 3cce43c811459438 e42795fcb72962a5 67b2cd847669eb36 0ccc2d9667763ea3 7d77c8f23d4954f8 5b8181f009aea80e b8f9bfae96987bda be70c36e4ea38458 f4168b2429fe5fc8 26cbffeea0f6c575 ca7c68af44fd8ee9 1a4d8bce3afd1b56 63184bac4cf97ff3 8fc7ce2809cf1b32 416c96657102211c 69d46fdd81d8231e ee23632037d2462c 346b159c27ccf883 4b6e014dffd2673f 817eae70e673a88c ad8a61749054cd18 681fe2d7682200f6 451bdb7494d19e87 8925c1ae30327290 b76596ea0eee5dbe 014a4ef0086ffd16 2581691373a1b114 cd8db508b6a32f86 f8da93306c8b3afd 44dc7728a94e7689 6534323024a54c63 cfc94035a9d35d98 f0bf09c8c45c44a0 7fb7c09a8f5f99c8 b1cf0726a906e3d8 271041afe860bb1a 4b1ee247d656b3cc b69e0ccafb37b847 671d93f74ef80e02 c9bc66a622f422d2 9b8a6b3666da895e 2e0b9ff1fd85b3f8 5bf59420aa660cbf d81b2e725afbab1d
YgHcM9MVbxKnxD1e,13f58fe9542bdb1a ba78ad593ec3412d 615c73ea4c3bfd15 94cce9ac398a8f4a 60e3b99111bd032b 9c41fe789f98d702 5008e2463b0c0526 1a62634394544781 b8603925d28a8c99 0c8a36e283d43f46 4ef5ba70fa9baaef 53f9c8caeeb8111e 9502b74b2d61c50e 0f2830cc25924065 33539f478a2ca02a 4ecc192a6da5b575 fb0bf6077c59c5a2 3522ccc98c60efd8 407e6f8c8891a01f 38f7cea86e2064f1 442b0ab445da8fa8 3b789e0a071f397f c15a07821acfd1de 9c01722be4efba41 940caca6051922cc cba533b4d734504c ea765d7122a8817c 9d8fc4400778047d 3869e9d8cef84740 4e3f50ee1414bb8f b429bb253a967e2e ab68fd67d27450d4 bbcd30c154b9cd4a bd9e8570cf8d8eaf 69313d4e1dce4f52 947d88e231c0f474 ea2fd9e75c893311 0da6f81229980968 735f402faf35bb9d 77897477ae28aade 6e716ea3643b69f1 8bb780189a2eb76d 757e8ade65e15b16 0a6582395c74f5b3 9dfc2ead6929b559 d19097bf801787b6 0654823048b2fb84 3bad0535f35b0096 1bb699002a717294 3f1cf51f524b45cc
Fn8uGfYsaUS86ak6,e3f278c4400772bd c6ddc1fc25886253 efd1cbb4bff99da8 1ebd6968953200ee b9982354b0f9b488 44853116720cebf8 8ff32856b99b223a 61857fa438e615aa 38d86757951c36dc e4d73ff84d102409 5fd350394c4e65a1 67046e3c5492df3e 6acdbf2dba17b143 1a0fd0229092f93a f6248730c66364a5 d384b46b93bf53b4 275d3c1139d393cf 55b42f2a9d801f9f deb8430c13b40452 cc19dcdc0a74058b 1ff9c80277e5e5bf 4be7b9267ce30093 6f7096b477f898df 03528664f8be42dd 5608e1f8f203f7f0 2f2946d353283dce c0c959ccb7cc3d15 12c906df661153f3 ae66c41ef6847433 2c01198e6a9e5dcf 01c152e3cfa3ca08 ee49d0f90bd0642b 82fd662701433866 a944f7e1fb47fb39 db87b45f400e6809 5931d549f8e473a0 64ddad407d40913a 54d4878484d77d4f ce436a021dfdf878 1d248a3b597a6b68 4a1cb64e668774e7 16434a4cbc954553 23c7206022ab2ceb 3bdc6382757e76a3 83a8c976f80c5b55 9c83208c1a82a393 073ac3a7e2d28b74 f7fb69768358facb efcc8613719f23bc 0897ddff1c0b5fbd
u4hftjenWqHZoMep,0cfabc56b1cd4816 1a3daa8815cbd80e c9021873c1f2511b 144d5e7f963f9a97 f7ed83d74c968bd4 bfc4346cd7fe091f 6159d0a9012f6b13 4ecfd12428c444fa 4ed8df21d84d4a06 57dc728ccb851c30 83b88c758270dcfe d0a1eeeb46bda2ef b0896578a785ce44 7ab3158075b21fb5 7ad464454b711615 24370b8d2003ebfc 52b552798a34129b 4e95d2667dcb5fb3 b8682c938874a5f6 0375f4bea0626c4c ee752d45a9373027 90e17d85ce74fabd 7518ec83dc022deb 24fd9775d036bff6 2f089fc7d63f44fc 3a53a839c1f4c488 4d9c460613abee81 aa9e33f78a5074e4 50b402fb74939bbc eda77ce98bbf5dd4 ce53d239e093b5e7 d5d764a8ab9ac729 01467ea140a31433 105a3a9285c33611 3574b10553c2dbd2 7ae144f60df3a5c9 eea5adbcb980f495 734b44282e741008 a13db969a6549ec1 36916043f9539d6e 5246455f567efe6d 210816d22274caec 3ac99054bc30830e 73d1b8c8138e3e71 78484e2e6deaa1b1 832f78d555c60c72 2fcdbc71ebcfba37 47d0a4cbc97400b0 df153908bdb70488 c0b0d5d652efdd56
2Ysms04CH0JxFR7M,1a4ad9abea6976bf 376b59a44a9b7fde cd8a55e63e6ab416 ff14cbd8d906719a 831141431ca6022b 4eab8b78558b6cb7 c57e284d60a66f9b d88cf31055f8f2f9 d7383729fe99b54f d39a335d58289043 48fb9b26f3ab9085 2021792912211cc8 a1ce355c874ba851 0749b0eac68ddfa2 fa0facc1035123dc e3f2e9efeb9d1b5a 4e2cb3c6fe0f1376 4ab5d95e3dbd0660 7cd161f77b76b004 9e6898aa5a012ad4 2ec74c681dda0a47 ba854086d29b49b8 9b746cef1e3ebe28 27514aceb5aeb5b4 1d3eb18e863c9dbf 866937840b197999 d6161215ffaba51b d1254ee38f8a30e6 c367d367efd7e4bf e27b8a70862f28a9 d765d8511e57bd2d af875b8598f2f28f f4bc1d7e5f5c5d38 fd1001273e2f6a7b c33361da32aa551f 9972a497c9dcd441 0dcd4085e5061e40 67cc1ef771b75c1b 832f57a536a3da0a 3528366245c7e9c3 57811f80bf623c40 3a152139cefe415b 66d2f6f3fb967645 47426c9b1e912d71 c4b44fa04e075c00 17e2f34cbfa91878 70d2b0a55385d928 e3598048a2754fcd cf529fa68f2e9dcd 8f01ed0d7f494725
C87NmbDEECz55BdJ,8d368cec78617ab7 d53ed1b5ee04124b d93f9fd25c34020e a2fe5220900a341a 772bdac5eb711ff6 42b32e2a4f2e1a0a 503fa42b3135b07a 47d69ab911f7e876 a317a15b20ded8b5 58c8bb4cda560a90 985dc437fea08791 933c563c0b97b294 7c1fd27bf3023a09 60da3b17af6c67c6 ae71662e1cd76c33 0489ab346368fb43 325cb0e9cc186e77 9f69c8903ff81799 312eb6d5e3c97fe5 1210ead0ad9cacdf 86de71c66dd2773e 010db753a547e8e0 102b9907088f7929 41206f1973ec29eb 272fb9d939705fa2 e0f567b0b56f901d 94c4ccd762aae19f d5481806b6e8dfde 21835a80bf8ab16c 03d74f1e16c5cb36 bb793f8bb34cb7a4 5bee8aed3480d143 17d852af377fc179 deb926c50529931b 8e27e0145ab2d9ee 7d3079ea89ea3327 639d85039afd302d 67cef9ea8ab87aae 104da90f582eb10b 816185148e8c214b 657d50165b7f7e8d c143762ac93699b4 da78f72b2c2de7d8 5afbf6db81762374 3482673a7d6aceca 2fda907fd6c2e822 38b4dd8222de9215 24f65a1ed155d3f6 776e60e861a7981b c91e07de79c2df3a
bTF8nFanljgh7MYg,ff0fa20dc2ab50f5 2e07853eb7febd93 ad6c26efefd1e6d1 45751ba9f5ef2a7b 5fe9106b02d139f8 253ace5bbc6a5281 d7417a1af0d46e1a 84692f30afb15e09 79e03dc1b937f2b3 8808d79291bc2814 8134832c22b87344 7765ca8add3b3542 73c824b5f00b7f22 4382906f52eed217 e6138c34ed8219e6 8765de7f4835dd17 c329ed775b745533 5e93a81c94d07a33 3f68d6ce6213be26 669c747016b7494a 229b8fbab27964dd 3851485adc7d53b7 3d3d4819adb1bdc1 4b7411fcf051e591 c52ba980ef3d89f9 aee0f2656b11461a 57f37ab29f4a3761 bf5df5b6664df87b 7d83d2d84dca235f 44dd78a6f91ea92e 31ea35fd9ee1a6b4 80f649479ab685fb 47edf8da97dcb026 0f3198d0ad020e41 a80a16ae889e8a8c 7e956132fdb6055d 1b9f35bc027398e9 dbb520e9d5be6c6d fa1091cafa5feee4 87b31d1f653afc3e b1e589355a7d26e7 62dfb42746e8cfac d4df758eb9a6847e 13e40e820fb0cb37 01bb8ec7985a5a62 f0163dabccdb33e8 51a8f5dae8c5d132 5167babc2adfdf25 8bf9acf4b98853fe 08dbb4a9a6298b6d
